"ID Card","CPAO","Owner","Acres","Unit","Block","Lot","St #","St Name","City"
"OffBabcock","Brevard","MOALLEM","0.88","","9","26","0","CAPE KENNEDY GROVES  ","Brevard County"
"P10C","Brevard","MOALLEM","1.21","10","C","","291","DECORDRE RD SE","Palm Bay"
"P10D","Brevard","MOALLEM","0.53","10","D","","256","ELDRON BLVD SE","Palm Bay"
"P19A","Brevard","MOALLEM","1.70","19","A","","355","TIPTON RD  SW","Palm Bay"
"P19G","Brevard","MOALLEM","1.99","19","G","","511","TROY RD  SW","Palm Bay"
"P24A","Brevard","MOALLEM","3.24","24","A","","2850","TISHMAN RD SE","Palm Bay"
"P25A","Brevard","MOALLEM","4.73","25","A","","260","LATHAM ST SE","Palm Bay"
"P30C","Brevard","MOALLEM","2.93","30","C","","275","HAINES RD SW","Palm Bay"
"P30E","Brevard","MOALLEM","2.32","30","E","","501","FONSICA ST SW","Palm Bay"
"P30M","Brevard","MOALLEM","1.30","30","M","","251","FINCH ST SW","Palm Bay"
"P31A","Brevard","MOALLEM","2.72","31","A","","390","HANFORD RD SW","Palm Bay"
"P31B","Brevard","MOALLEM","1.15","31","B","","2175","GANDY RD SW","Palm Bay"
"P32N","Brevard","MOALLEM","1.77","32","N","","1510","DEGROODT RD SW","Palm Bay"
"P36E","Brevard","MOALLEM","1.91","36","E","","945","HARPER BLVD SW","Palm Bay"
"PMIP10","Brevard","MOALLEM","4.45","","6","10","1085","CLEARMONT ST NE","Palm Bay"
"PMIPC","Brevard","MOALLEM","0.46","","C","","2151","FRANKLIN DR  NE","Palm Bay"
"S011402","Brevard","SARALAND","0.23","6","114","2","511","DREXEL AVE NE","Palm Bay"
"S057223","Brevard","SARALAND","0.24","14","572","23","475","CARPENTER AV  NW","Palm Bay"
"S058819","Brevard","SARALAND","0.28","14","588","19","946","DORCHESTER RD  NW","Palm Bay"
"S070107","Brevard","SARALAND","0.23","15","701","7","1350","FOUNDATION PARK BLVD SE","Palm Bay"
"S074812","Brevard","SARALAND","0.23","16","748","12","1498","VAN BUREN AVE SE","Palm Bay"
"S075530","Brevard","SARALAND","0.23","16","755","30","1257","WABASH RD SE","Palm Bay"
"S076322","Brevard","SARALAND","0.23","16","763","22","1299","PACKER RD SE","Palm Bay"
"S076605","Brevard","SARALAND","0.24","16","766","5","770","SAN FILIPPO DR ","Palm Bay"
"S077015","Brevard","SARALAND","0.28","16","770","15","1215","PAGADO RD SE","Palm Bay"
"S077016","Brevard","SARALAND","0.23","16","770","16","1229","PAGADO RD SE","Palm Bay"
"S080208","Brevard","SARALAND","0.24","16","802","8","1557","PAINTER ST SE","Palm Bay"
"S082815","Brevard","SARALAND","0.26","17","828","15","1075","WELCH RD  SE","Palm Bay"
"S082816","Brevard","SARALAND","0.27","17","828","16","1091","WELCH RD  SE","Palm Bay"
"S083506","Brevard","SARALAND","0.27","17","835","6","1671","THARP RD  SE","Palm Bay"
"S083910","Brevard","SARALAND","0.24","17","839","10","1228","THERESA ST  SE","Palm Bay"
"S084026","Brevard","SARALAND","0.23","17","840","26","1805","SANDIA RD  SE","Palm Bay"
"S084905","Brevard","SARALAND","0.36","17","849","5","907","SANGER ST SE","Palm Bay"
"S084921","Brevard","SARALAND","0.26","17","849","21","1835","RAINTREE AVE SE","Palm Bay"
"S084937","Brevard","SARALAND","0.23","17","849","37","1030","TETZEL ST  SE","Palm Bay"
"S084938","Brevard","SARALAND","0.23","17","849","38","1020","TETZEL ST  SE","Palm Bay"
"S084939","Brevard","SARALAND","0.26","17","849","39","1010","TETZEL ST  SE","Palm Bay"
"S085503","Brevard","SARALAND","0.25","17","855","3","2195","TEA AVE SE","Palm Bay"
"S085711","Brevard","SARALAND","0.24","17","857","11","2118","THAMES RD  SE","Palm Bay"
"S086904","Brevard","SARALAND","0.24","22","869","4","1328","RABBIT ST  SE","Palm Bay"
"S0888-11","undefined","SARALAND","0.24","22","888","11","0","ELDRON BLVD SE","Palm Bay"
"S088810","Brevard","SARALAND","0.23","22","888","10","990","PANDORA RD SE","Palm Bay"
"S088811","Brevard","SARALAND","0.24","22","888","11","0","PANDORA RD SE","Palm Bay"
"S088813","Brevard","SARALAND","0.24","22","888","13","2482","QUEENS ST SE","Palm Bay"
"S090407","Brevard","SARALAND","0.24","22","904","7","1171","COGAN DR  SE","Palm Bay"
"S090415","Brevard","SARALAND","0.24","22","904","15","2580","QUANTICO AV  SE","Palm Bay"
"S090416","Brevard","SARALAND","0.24","22","904","16","2570","QUANTICO AV  SE","Palm Bay"
"S090417","Brevard","SARALAND","0.24","22","904","17","2560","QUANTICO AV  SE","Palm Bay"
"S092821","Brevard","SARALAND","0.23","18","928","21","1641","WALTZ ST  SE","Palm Bay"
"S092822","Brevard","SARALAND","0.23","18","928","22","1633","WALTZ ST  SE","Palm Bay"
"S093914","Brevard","SARALAND","0.26","18","939","14","1367","SAN FILIPPO DR SE","Palm Bay"
"S096203","Brevard","SARALAND","0.23","18","962","3","1680","SANTONIAN ST  SE","Palm Bay"
"S098301","Brevard","SARALAND","0.24","20","983","1","191","WATOGA AVE SW","Palm Bay"
"S098825","Brevard","SARALAND","0.24","20","988","25","1028","THOMPSON RD SW","Palm Bay"
"S103044","Brevard","SARALAND","0.25","20","1030","44","501","WILDWOOD AVE SW","Palm Bay"
"S104908","Brevard","SARALAND","0.23","20","1049","8","2108","JUPITER BLVD.  SW","Palm Bay"
"S105302","Brevard","SARALAND","0.24","20","1053","2","700","BRYANT RD  SW","Palm Bay"
"S106913","Brevard","SARALAND","0.29","19","1069","13","100","TUCSON RD SW","Palm Bay"
"S107010","Brevard","SARALAND","0.24","19","1070","10","429","SANTO DOMINGO AVE SW","Palm Bay"
"S107226","Brevard","SARALAND","0.23","19","1072","26","328","SAN LUIS ST SW","Palm Bay"
"S107310","Brevard","SARALAND","0.24","19","1073","10","255","SANTA MARTIA ST  SW","Palm Bay"
"S107930","Brevard","SARALAND","0.24","19","1079","30","406","SARAGASSA AV  SW","Palm Bay"
"S110403","Brevard","SARALAND","0.24","23","1104","3","2821","QUENTIN AVE SE","Palm Bay"
"S117205","Brevard","SARALAND","0.23","24","1172","5","950","WESLACO ST  SE","Palm Bay"
"S118803","Brevard","SARALAND","0.24","24","1188","3","2998","TINLEY RD  SE","Palm Bay"
"S120214","Brevard","SARALAND","0.25","24","1202","14","801","BROOKFIELD ST SE","Palm Bay"
"S126228","Brevard","SARALAND","0.28","25","1262","28","199","FOLEY ST SE","Palm Bay"
"S126303","Brevard","SARALAND","0.25","25","1263","3","100","FOLEY ST SE","Palm Bay"
"S126410","Brevard","SARALAND","0.23","25","1264","10","3281","FIR AVE SE","Palm Bay"
"S126415","Brevard","SARALAND","0.23","25","1264","15","3280","HEWITT AV  SE","Palm Bay"
"S126416","Brevard","SARALAND","0.23","25","1264","16","3270","HEWITT AV  SE","Palm Bay"
"S130803","Brevard","SARALAND","0.24","25","1308","3","3121","SAN FILIPPO DR  SE","Palm Bay"
"S135218","Brevard","SARALAND","0.24","25","1352","18","101","FELL ST  SE","Palm Bay"
"S139020","Brevard","SARALAND","0.25","30","1390","20","113","LAMARQUE ST  SW","Palm Bay"
"S139021","Brevard","SARALAND","0.24","30","1390","21","125","LAMARQUE ST  SW","Palm Bay"
"S139108","Brevard","SARALAND","0.24","30","1391","8","3077","CAMBRIA AV  SW","Palm Bay"
"S139712","Brevard","SARALAND","0.25","30","1397","12","3399","LAGOON ST SW","Palm Bay"
"S142306","Brevard","SARALAND","0.23","30","1423","6","542","FLEETWOOD ST  SW","Palm Bay"
"S143210","Brevard","SARALAND","0.24","30","1432","10","3028","FERDON AV  SW","Palm Bay"
"S143717","Brevard","SARALAND","0.24","30","1437","17","463","LA GORCE ST  SW","Palm Bay"
"S143813","Brevard","","0.23","30","1438","13","3181","FRANTZ AV  SW","Palm Bay"
"S143904","Brevard","","0.23","30","1439","4","3131","FITZPATRICK AV  SW","Palm Bay"
"S144302","Brevard","SARALAND","0.23","30","1443","2","510","LA GORCE ST  SW","Palm Bay"
"S144303","Brevard","SARALAND","0.23","30","1443","3","520","LA GORCE ST  SW","Palm Bay"
"S144603","Brevard","SARALAND","0.23","30","1446","3","520","HALKETT ST  SW","Palm Bay"
"S144604","Brevard","SARALAND","0.23","30","1446","4","530","HALKETT ST  SW","Palm Bay"
"S145008","Brevard","","0.23","30","1450","8","440","HALIFAX ST  SW","Palm Bay"
"S165825","Brevard","SARALAND","0.31","37","1658","25","511","HARRISBURG ST  SW","Palm Bay"
"S165915","Brevard","SARALAND","0.23","37","1659","15","810","DAMEK TER  SW","Palm Bay"
"S168217","Brevard","SARALAND","0.26","37","1682","17","798","SCODELLA ST SW","Palm Bay"
"S168514","Brevard","SARALAND","0.23","37","1685","14","773","DE GROODT RD  SW","Palm Bay"
"S173544","Brevard","SARALAND","0.23","36","1735","44","1388","GIDEON ST  SW","Palm Bay"
"S173545","Brevard","SARALAND","0.23","36","1735","45","1380"," GIDEON ST  SW","Palm Bay"
"S173546","Brevard","SARALAND","0.23","36","1735","46","1372","GIDEON ST  SW","Palm Bay"
"S173549","Brevard","SARALAND","0.23","36","1735","49","1348","GIDEON ST  SW","Palm Bay"
"S173552","Brevard","SARALAND","0.23","36","1735","52","1324","GIDEON ST  SW","Palm Bay"
"S173554","Brevard","SARALAND","0.23","36","1735","54","1308","GIDEON ST  SW","Palm Bay"
"S173557","Brevard","SARALAND","0.23","36","1735","57","1296","GIDEON ST SW","Palm Bay"
"S175717","Brevard","SARALAND","0.23","36","1757","17","1027","GEARY ST  SW","Palm Bay"
"S175905","Brevard","SARALAND","0.23","36","1759","5","950","GEARY ST  SW","Palm Bay"
"S176611","Brevard","SARALAND","0.23","36","1766","11","871","DALHART AV  SW","Palm Bay"
"S176633","Brevard","SARALAND","0.27","36","1766","33","880","HAVELOCK AV  SW","Palm Bay"
"S183709","Brevard","SARALAND","0.23","39","1837","9","430","KRASSNER DR  NW","Palm Bay"
"S184622","Brevard","SARALAND","0.24","39","1846","22","1726","HAYWORTH CIR  NW","Palm Bay"
"S184717","Brevard","SARALAND","0.23","39","1847","17","1761","HAYWORTH CIR  NW","Palm Bay"
"S185315","Brevard","SARALAND","0.24","41","1853","15","508","PLUMBAGO RD NW","Palm Bay"
"S185926","Brevard","SARALAND","0.24","41","1859","26","641","KRASSNER DR  NW","Palm Bay"
"S186322","Brevard","SARALAND","0.23","41","1863","22","448","PRIVET CT  NW","Palm Bay"
"S186515","Brevard","SARALAND","0.30","41","1865","15","435","BAHIA CT  NW","Palm Bay"
"S186815","Brevard","SARALAND","0.23","41","1868","15","351","WISTERIA AV  NW","Palm Bay"
"S187702","Brevard","SARALAND","0.26","41","1877","2","1890","BERMUDA CT  NW","Palm Bay"
"S189019","Brevard","SARALAND","0.26","41","1890","19","1706","ORCHID CT  NW","Palm Bay"
"S189204","Brevard","SARALAND","0.24","26","1892","4","543","HOBART AV  NW","Palm Bay"
"S189302","Brevard","SARALAND","0.25","26","1893","2","1385","GINGOLD ST NW","Palm Bay"
"S189413","Brevard","SARALAND","0.29","26","1894","13","502","HILLSDALE AVE ","Palm Bay"
"S190805","Brevard","SARALAND","0.27","26","1908","5","306","DORCHESTER ST NW","Palm Bay"
"S191011","Brevard","SARALAND","0.24","26","1910","11","205","BIARRITZ ST NW","Palm Bay"
"S191014","Brevard","SARALAND","0.24","26","1910","14","1161","BIARRITZ ST  NW","Palm Bay"
"S191110","Brevard","SARALAND","0.26","26","1911","10","202","JOY HAVEN AVE NW","Palm Bay"
"S208247","Brevard","SARALAND","0.24","46","2082","47","2983","DERBY AVE SE","Palm Bay"
"S209909","Brevard","SARALAND","0.25","21","2099","9","140","DONNA RD  NE","Palm Bay"
"S226511","Brevard","SARALAND","0.27","44","2265","11","1897","VAUXHALL ST NW","Palm Bay"
"S253007","Brevard","SARALAND","0.25","49","2530","7","708","OWL ST  SW","Palm Bay"
"S253225","Brevard","SARALAND","0.23","49","2532","25","3306","SPARROW AVE SW","Palm Bay"
"S253313","Brevard","SARALAND","0.23","49","2533","13","3237","MOCKINGBIRD AV  SW","Palm Bay"
"S253323","Brevard","SARALAND","0.23","49","2533","23","3278","HUMMINGBIRD AV  SW","Palm Bay"
"S253501","Brevard","SARALAND","0.36","49","2535","1","3100","SAGE AVE SW","Palm Bay"
"S253602","Brevard","SARALAND","0.23","49","2536","2","886","NIGHTENGALE ST  SW","Palm Bay"
"S253708","Brevard","SARALAND","0.23","49","2537","8","838","BLUEJAY ST  SW","Palm Bay"
"S253722","Brevard","SARALAND","0.23","49","2537","22","879","NIGHTENGALE ST ST SW","Palm Bay"
"S253723","Brevard","SARALAND","0.23","49","2537","23","887"," NIGHTENGALE ST ST SW","Palm Bay"
"S253905","Brevard","SARALAND","0.23","49","2539","5","862","WREN ST  SW","Palm Bay"
"S253911","Brevard","SARALAND","0.23","49","2539","11","814","WREN ST  SW","Palm Bay"
"S253919","Brevard","SARALAND","0.23","49","2539","19","855","ROBIN ST  SW","Palm Bay"
"S254005","Brevard","SARALAND","0.23","49","2540","5","3167","SAGE AV  SW","Palm Bay"
"S254314","Brevard","SARALAND","0.27","49","2543","14","600","SANDLEWOOD ST SW","Palm Bay"
"S254315","Brevard","SARALAND","0.27","49","2543","15","601","HOJA ST SW","Palm Bay"
"S254521","Brevard","SARALAND","0.23","49","2545","21","709","MISTLETOE ST  SW","Palm Bay"
"S254706","Brevard","SARALAND","0.23","49","2547","6","3131","NIGHTHAWK AV  SW","Palm Bay"
"S254915","Brevard","SARALAND","0.23","49","2549","15","642","OPAL ST  SW","Palm Bay"
"S255206","Brevard","SARALAND","0.23","49","2552","6","3058","SAGE AV  SW","Palm Bay"
"S255214","Brevard","SARALAND","0.23","49","2552","14","2994","SAGE AV  SW","Palm Bay"
"S255218","Brevard","SARALAND","0.23","49","2552","18","2962","SAGE AV  SW","Palm Bay"
"S255328","Brevard","SARALAND","0.23","49","2553","28","3042","ROSEMARY AV  SW","Palm Bay"
"S255521","Brevard","SARALAND","0.23","49","2555","21","2942","LIBBY AV  SW","Palm Bay"
"S255614","Brevard","SARALAND","0.23","49","2556","14","614","DOLOND ST  SW","Palm Bay"
"S255624","Brevard","SARALAND","0.23","49","2556","24","713","OPAL ST  SW","Palm Bay"
"S255722","Brevard","SARALAND","0.23","49","2557","22","685","DOLOND ST  SW","Palm Bay"
"S255725","Brevard","SARALAND","0.23","49","2557","25","727","DOLOND ST  SW","Palm Bay"
"S255729","Brevard","SARALAND","0.23","49","2557","29","783","DOLOND ST  SW","Palm Bay"
"S256102","Brevard","SARALAND","0.23","49","2561","2","789","SPOONBILL ST  SW","Palm Bay"
"S256306","Brevard","SARALAND","0.23","49","2563","6","2865","BASIL AV  SW","Palm Bay"
"S256318","Brevard","SARALAND","0.26","49","2563","18","2814","MADDEN AV  SW","Palm Bay"
"S256518","Brevard","SARALAND","0.47","49","2565","18","2822","SAGE AV  SW","Palm Bay"
"S256519","Brevard","SARALAND","0.27","49","2565","19","2816","SAGE AV  SW","Palm Bay"
"S256938","Brevard","SARALAND","0.24","49","2569","38","685","LAIKA RD  SW","Palm Bay"
"S256944","Brevard","SARALAND","0.29","49","2569","44","601","LAIKA RD  SW","Palm Bay"
"S257307","Brevard","SARALAND","0.25","49","2573","7","815","LAIKA RD  SW","Palm Bay"
"S257317","Brevard","SARALAND","0.58","49","2573","17","2796","GINGER AV  SW","Palm Bay"
"S257318","Brevard","SARALAND","0.24","49","2573","18","2772","GINGER AV  SW","Palm Bay"
"S257823","Brevard","SARALAND","0.47","49","2578","23","827","SANDOLLAR ST  SW","Palm Bay"
"S258528","Brevard","SARALAND","0.26","49","2585","28","891","SAILBOAT ST  SW","Palm Bay"
"S258529","Brevard","SARALAND","0.45","49","2585","29","899","SAILBOAT ST  SW","Palm Bay"
"S258530","Brevard","SARALAND","0.36","49","2585","30","2500","GINGER AV  SW","Palm Bay"
"S258531","Brevard","SARALAND","0.23","49","2585","31","2510","GINGER AV  SW","Palm Bay"
"S258613","Brevard","SARALAND","0.23","49","2586","13","817","OLIVIA ST  SW","Palm Bay"
"S258622","Brevard","SARALAND","0.23","49","2586","22","850","WISEMAN ST  SW","Palm Bay"
"S258629","Brevard","SARALAND","0.30","49","2586","29","2496","BOLTON AV  SW","Palm Bay"
"S258643","Brevard","SARALAND","0.47","49","2586","43","2300","BOLTON AV  SW","Palm Bay"
"S258701","Brevard","SARALAND","0.27","49","2587","1","797","MADDEN AVE SW","Palm Bay"
"S259328","Brevard","SARALAND","0.27","49","2593","28","2498","ANDROS AVE SW","Palm Bay"
"S259601","Brevard","SARALAND","0.33","49","2596","1","1874","ALWAR AVE SW","Palm Bay"
"S259616","Brevard","SARALAND","0.26","49","2596","16","2291","HIBISCUS AVE SW","Palm Bay"
"S259705","Brevard","SARALAND","0.23","49","2597","5","2171","ALWAR AV  SW","Palm Bay"
"S260201","Brevard","SARALAND","0.24","49","2602","1","2199","DAY AV  SW","Palm Bay"
"S260213","Brevard","SARALAND","0.23","49","2602","13","2107","DAY AV  SW","Palm Bay"
"S260616","Brevard","SARALAND","0.23","49","2606","16","637","HERON RD  SW","Palm Bay"
"S260714","Brevard","SARALAND","0.25","49","2607","14","701","MERRY ST SW","Palm Bay"
"S260723","Brevard","SARALAND","0.23","49","2607","23","825","MERRY ST  SW","Palm Bay"
"S260803","Brevard","SARALAND","0.23","49","2608","3","2132","ALWAR AV  SW","Palm Bay"
"S260850","Brevard","SARALAND","0.23","49","2608","50","780","BOMBARDIER  SW","Palm Bay"
"S260930","Brevard","SARALAND","0.36","49","2609","30","861","NOVAK ST SW","Palm Bay"
"S261023","Brevard","SARALAND","0.23","49","2610","23","1970","GOODREAU AV  SW","Palm Bay"
"S261026","Brevard","SARALAND","0.23","49","2610","26","1998","GOODREAU AV  SW","Palm Bay"
"S261602","Brevard","SARALAND","0.29","49","2616","2","1997","DAY AV  SW","Palm Bay"
"S261904","Brevard","SARALAND","0.23","49","2619","4","871","BOMBARDIER BLVD SW","Palm Bay"
"S261913","Brevard","SARALAND","0.23","49","2619","13","791","BOMBARDIER AVE SW","Palm Bay"
"S262001","Brevard","SARALAND","0.28","49","2620","1","1897","GARVEY  SW","Palm Bay"
"S262020","Brevard","SARALAND","0.23","49","2620","20","673","BOMBARDIER BLVD SW","Palm Bay"
"S262023","Brevard","SARALAND","0.23","49","2620","23","701","BOMBARDIER  SW","Palm Bay"
"S262024","Brevard","SARALAND","0.23","49","2620","24","711","BOMBARDIER  SW","Palm Bay"
"S262025","Brevard","SARALAND","0.23","49","2620","25","721","BOMBARDIER  SW","Palm Bay"
"S262028","Brevard","SARALAND","0.34","49","2620","28","751","BOMBARDIER  SW","Palm Bay"
"S262325","Brevard","SARALAND","0.32","49","2623","25","791","MADDEN AVE SW","Palm Bay"
"S262412","Brevard","SARALAND","0.23","49","2624","12","710","BURGESS ST  SW","Palm Bay"
"S262413","Brevard","SARALAND","0.32","49","2624","13","702","BURGESS ST SW","Palm Bay"
"S262508","Brevard","SARALAND","0.23","49","2625","8","742","PERKINS ST  SW","Palm Bay"
"S262509","Brevard","SARALAND","0.23","49","2625","9","734","PERKINS ST  SW","Palm Bay"
"S262512","Brevard","SARALAND","0.23","49","2625","12","710","PERKINS ST  SW","Palm Bay"
"S262513","Brevard","SARALAND","0.32","49","2625","13","702","DRAKE AVE SW","Palm Bay"
"S262519","Brevard","SARALAND","0.23","49","2625","19","743","BURGESS ST  SW","Palm Bay"
"S262724","Brevard","SARALAND","0.24","49","2627","24","685","PINTA TERR  SW","Palm Bay"
"S265908","Brevard","SARALAND","0.22","50","2659","8","1390","ELDORAN BLVD SE","Palm Bay"
"S274106","Brevard","SARALAND","0.27","50","2741","6","999","HATTARAS TER  SE","Palm Bay"
"S494","Brevard","SARALAND","0.23","49","2620","21","685","BOMBARDIER BLVD SW","Palm Bay"
"SCM1","Brevard","","0.23","25","1351","29","137","FELDMAN ST SE","Palm Bay"
"SCM54625","Brevard","","0.41","12","546","25","680","AGUERO AVE SE","Palm Bay"
"SFCP","Brevard","MOALLEM","1.85","","C","","64","SAN FILIPPO DR SE","Palm Bay"
"SW17","Brevard","MOALLEM","1.25","","468","","0","  ","Canaveral Groves"
"SW18","Brevard","MOALLEM","4.91","","","79","0","  ","Canaveral Groves"
"SW19","Brevard","MOALLEM","2.52","","27","7","0","  ","Canaveral Groves"
"SW20","Brevard","MOALLEM","1.78","","1","4","0","  ","Canaveral Groves"
"SW21","Brevard","MOALLEM","2.39","","4","26","","TAMARLA AVE ","Canaveral Groves"
"SW22","Brevard","MOALLEM","2.74","","2.G","9.04","0","  ","Canaveral Groves"
"SW24","Brevard","MOALLEM","3.41","","2.G","46.05","0","  ","Canaveral Groves"
"SX373","Brevard","SARALAND","0.23","30","1446","16","561","FIREBRAND ST  SW","Palm Bay"
"T110001","Brevard","MOALLEM/THOMPSON","0.27","19","1100","1","505","SANTO DOMINGO AVE SW","Palm Bay"
"T110002","Brevard","MOALLEM/THOMPSON","0.23","19","1100","2","515","SANTO DOMINGO AVE SW","Palm Bay"
"T110025","Brevard","MOALLEM/THOMPSON","0.23","19","1100","25","0","DE GROODT  SW","Palm Bay"
"T110026","Brevard","MOALLEM/THOMPSON","0.28","19","1100","26","0","DE GROODT  SW","Palm Bay"
"T110103","Brevard","MOALLEM/THOMPSON","0.23","19","1101","3","529","DE GROODT  SE","Palm Bay"
"T256115","Brevard","MOALLEM","0.23","49","2561","15","711","SPOONBILL ST SW","Palm Bay"
"T49J","Brevard","MOALLEM/THOMPSON","4.27","49","J","","843","OSMOSIS DR SW","Palm Bay"
"TD104501","Brevard","MOALLEM","0.26","20","1045","1","800","WAKAW LN SW","Palm Bay"
"TD1131-14","Brevard","MOALLEM","0.29","23","1131","14","3295","TORGERSON RD SE","Palm Bay"
"TD1486-06","Brevard","MOALLEM","0.23","31","1486","6","438","LAFAYETTE ST SW","PALM BAY"
"TD1513-22","Brevard","MOALLEM","0.23","31","1513","22","451","OLNEY ST SW","PALM BAY"
"TD151508","Brevard","SARASEA LLC","0.23","31","1515","8","2575","HAGOPLAN AVE SW","Palm Bay"
"TD1540-17","Brevard","MOALLEM","0.26","31","1540","17","303","GASTIN ST SW","Palm Bay"
"TD156106","Brevard","DAVID MOALLEM TRUST","0.24","32","1561","6","550","SCANLON RD SW","Palm Bay"
"TD254014","Brevard","MOALLEM","0.32","49","2540","14","3101","ST. ANDREA  SW","Palm Bay"
"TD256423","Brevard","MOALLEM","0.23","49","2564","23","2860","BASIL AVE SW","Palm Bay"
"TD257709","Brevard","MOALLEM","0.29","49","2577","9","820","SANDOLLAR ST SW","Palm Bay"
"TD258202","Brevard","MOALLEM","0.23","49","2582","2","890","SILBOAT ST SW","Palm Bay"
"TD258718","Brevard","MOALLEM","0.23","49","2587","18","2329","BARON AVE SW","Palm Bay"
"TD259415","Brevard","MOALLEM","0.27","49","2594","15","2300","WISHAM  SW","Palm Bay"
"TD260855","Brevard","MOALLEM","0.23","49","2608","55","820","BOMBARDIER BLVD SW","Palm Bay"
"TD262611","Brevard","MOALLEM","0.23","49","2626","11","711","PERKINS ST SW","Palm Bay"
"TD274525","Brevard","DAVID MOALLEM TRUST","0.23","50","2745","25","707","RALEIGH RD SE","Palm Bay"
"TD560","Brevard","MOALLEM","2.50","","560","","0","S. OF FAY BLVD  ","Cocoa"
"TDCG","Brevard","MOALLEM","1.27","","13","25","","  ","Canaveral Groves"
"TDCG-Pond279","Brevard","MOALLEM","1.31","","","279","","OFF PORT ST JOHN PKWY ","Cocoa"
"TDCG-Pond280","Brevard","MOALLEM","1.31","","","280","","OFF PORT ST JOHN PKWY ","Cocoa"
"TDCG1--8","Brevard","MOALLEM","","","1","8","","  ","Canaveral Groves"
"TDCG10-002","Brevard","MOALLEM","2.39","","8","7","0","TOMARLA AVE ","Canaveral Groves"
"TDCG11-25","Brevard","MOALLEM","1.28","","11","25","","OFF PORT ST JOHN PKWY ","Cocoa"
"TDCG11-26","Brevard","MOALLEM","1.28","","11","26","","OFF PORT ST JOHN PKWY ","Cocoa"
"TDCG13-7","Brevard","MOALLEM","","","13","7","","  ","Canaveral Groves"
"TDCG18-8","Brevard","DAVID MOALLEM TRUST","1.26","","18","8","","OFF HWY 528  ","Cocoa"
"TDCG19-02","Brevard","MOALLEM","2.68","","19","2","0","  ","Canaveral Groves"
"TDCG24-3","Brevard","MOALLEM","1.29","","24","3","","  ","Canaveral Groves"
"TDCGS10-3","Brevard","MOALLEM","1.80","","10","3","","  ","Canaveral Groves"
"TDMIS1","Brevard","MOALLEM","1.25","","530","","0","  ","Brevard County"
"TDoffFoundation","Brevard","MOALLEM","0.07","56","","2","","OFF FOUNDATION PARK BLVD SE","Palm Bay"
"TDSatellite1","Brevard","MOALLEM","1.50","","7","18A","","SATELLITE BLVD ","Cocoa"
"TDSatellite2","Brevard","MOALLEM","1.20","","","","","SATELLITE BLVD ","Cocoa"
"TDUS1","Brevard","MOALLEM","1.57","","266","","4454"," HIGHWAY 1  ","Brevard County"
"TO","Brevard","T. C. CHANG III","","","","","830","N. WICKHAM RD  ","Melbourne"
"U12F","Brevard","MOALLEM","1.03","12","A","","802","ARABIA RD SE","Palm Bay"
"U14D","Brevard","MOALLEM","1.02","14","D","","274","ALEGRIANO RD  NW","Palm Bay"
"U36F","Brevard","MOALLEM","1.70","36","F","","945","HARPER BLVD  SW","Palm Bay"
"underhill","Brevard","MOALLEM","40.00","","500","","1001","UNDERHILL AVE  SE","Palm Bay"
"WHYNOT","Brevard","MOALLEM","1.22","","511","","511","BABCOCK ST SE","Palm Bay"
"X119","Brevard","MPX","0.23","24","1196","16","3191","LOWRY BLVD  SE","Palm Bay"
"X120","Brevard","MPX","0.23","24","1197","8","3263","LOWRY BLVD  SE","Palm Bay"
"X188","Brevard","MPX","0.24","32","1559","14","1170","GAWAIN RD  SW","Palm Bay"
"X189","Brevard","MPX","0.24","32","1559","16","1148","GAWAIN RD  SW","Palm Bay"
"X227","Brevard","MPX","0.30","36","1727","23","1285","GERRY RD  SW","Palm Bay"
"X241","Brevard","MPX","0.24","36","1759","11","715","HAWKINS AVE.  SW","Palm Bay"
"X246","Brevard","MPX","0.23","37","1648","12","872","SCHOMER AVE.  SW","Palm Bay"
"X248","Brevard","MPX","0.23","37","1659","16","818","DAMEK TER  SW","Palm Bay"
"X249","Brevard","MPX","0.26","37","1673","16","485","HARRISBURG ST  SW","Palm Bay"
"X255","Brevard","MPX","0.33","39","1829","17","572","DECKER CT.  NW","Palm Bay"
"X260","Brevard","MPX","0.23","41","1863","27","449","PRIVET CT  NW","Palm Bay"
"X261","Brevard","MPX","0.24","41","1864","32","1768","HYDRANGEA RD.  NW","Palm Bay"
"X2622-22","Brevard","MPX","0.23","49","2622","22","1664","GARVEY RD  SW","Palm Bay"
"X277","Brevard","MPX","0.24","46","2052","11","1118","MOON  SE","Palm Bay"
"X28","Brevard","MOALLEM","0.24","16","758","40","1181","VALENCIA ST SE","Palm Bay"
"X301","Brevard","MPX","0.23","25","1304","8","2980","DAGGET  AVE SE","Palm Bay"
"X37","Brevard","MPX","0.26","17","841","2","1806","SANDIA RD  SE","Palm Bay"
"X378","Brevard","MPX","0.23","49","2530","12","628","OWL ST  SW","Palm Bay"
"X380","Brevard","MPX","0.23","49","2530","23","3307","NIGHTHAWK AVE  SW","Palm Bay"
"X382","Brevard","MPX","0.23","49","2533","5","3349","MOCKINGBIRD  SW","Palm Bay"
"X383","Brevard","MPX","0.23","49","2533","9","3293","MOCKINGBIRD  SW","Palm Bay"
"X384","Brevard","MPX","0.23","49","2534","19","3334","MOCKINGBIRD  SW","Palm Bay"
"X385","Brevard","MPX","0.23","49","2535","14","3198","SAGE  SW","Palm Bay"
